Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
EGY,134060.0,139637.6,142390.4,147887.5,144169.2,153792.9,161560.1,170417.0,176157.9,186073.8,185767.9,199345.2,204770.6,209928.8,223167.4,244429.5,255398.2,270758.9,280232.8,287560.3,289948.5,297747.7,308462.3,305402.4,311166.2,317375.0,325472.7,338426.6,344822.8,351774.9,,
ERI,3688.301,3699.997,4417.517,3993.685,4182.766,4302.809,4844.317,5341.969,5287.992,5450.916,5545.459,5275.57,5221.13,5367.503,5383.635,5398.072,5163.827,5488.205,5428.816,5477.649,5388.05,5682.358,5767.611,5841.934,5888.083,5927.944,6015.008,6092.985,6278.066,6332.812,,
ESP,275607.1,281702.0,291545.1,276742.5,289652.2,303376.0,296700.6,317951.1,327475.1,352142.7,369365.1,367789.9,384449.2,393427.2,409542.2,424157.4,418145.9,434486.4,401187.8,364432.1,349265.8,348735.1,342354.2,315993.3,314694.3,325275.6,315702.7,332224.7,324881.0,306947.0,,
EST,39519.51,35639.35,27723.34,21870.06,20926.77,19246.46,20099.25,19630.59,19073.87,18082.0,17681.9,18123.16,17681.02,19668.52,19807.83,19952.22,18715.75,22767.01,21199.74,17759.64,21776.85,20907.32,19663.06,22102.77,20748.59,18362.75,18686.55,19440.78,18029.48,12873.96,,
ETH,67454.96,67852.75,68693.12,62805.29,63972.56,64808.29,68072.02,70229.61,76071.45,75643.4,72741.94,76539.6,85842.47,83989.57,86140.76,89439.89,94360.34,104241.7,108345.6,112798.4,117495.9,117076.2,122610.6,127196.1,133501.9,136858.6,142829.5,146533.1,148515.7,150963.1,,
FIN,69661.51,69554.01,66445.74,67689.06,74334.65,70345.75,76795.3,74877.96,71225.84,70373.51,68858.78,74643.96,77008.72,85141.54,81133.9,68916.18,80322.14,78466.14,70348.8,66677.51,74804.83,66774.16,61113.72,61883.47,57822.68,54346.07,57028.08,54159.12,55490.25,51478.64,,
FJI,1713.39,1721.557,1762.773,1821.331,1869.343,1935.254,1979.295,1962.553,1924.69,1908.293,1945.449,2213.924,2044.083,2154.882,2619.849,2428.852,2514.469,2409.816,2132.389,2113.04,2303.292,2259.444,2184.031,2296.827,1879.462,2001.406,2137.37,2325.697,2300.599,2380.337,,
FRA,495849.9,520919.2,506336.6,487345.4,481650.2,490362.3,510103.4,500772.7,516823.3,507635.8,506031.6,511206.8,504279.9,509462.5,507745.7,509039.4,499199.8,492475.7,486457.8,468656.9,472620.6,456715.7,460299.2,461266.6,427768.8,433224.3,433601.6,436177.2,422743.6,414036.0,,
FRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAB,10233.12,11249.96,11218.45,11546.23,12305.57,13491.69,14432.69,14255.74,15346.09,14335.84,13884.85,13981.6,13371.98,14554.58,14131.61,13865.08,12663.84,11989.67,12681.48,12382.23,13261.09,13247.73,12877.94,13103.85,13452.89,13898.54,14302.74,12863.78,12392.69,13169.28,,
